86,-86,-1.500983157,175.6,,12.24923679,-175.1722472
85,-85,-1.483529864,175.6,,15.30454843,-174.931789
84,-84,-1.466076572,175.7,,18.365651,-174.737497
83,-83,-1.448623279,175.7,,21.41244364,-174.3903588
82,-82,-1.431169987,175.7,,24.45271384,-173.9900997
81,-81,-1.413716694,175.7,,27.48553551,-173.5368414
80,-80,-1.396263402,175.7,,30.50998482,-173.0307222
79,-79,-1.378810109,175.7,,33.52514049,-172.4718961
78,-78,-1.361356817,175.6,,36.50929291,-171.7627187
77,-77,-1.343903524,175.7,,39.52390025,-171.1968204
76,-76,-1.326450232,175.7,,42.50567706,-170.4809591
75,-75,-1.308996939,175.6,,45.44862432,-169.6165751
74,-74,-1.291543646,176,,48.51217462,-169.1820585
73,-73,-1.274090354,176,,51.45742003,-168.309637
72,-72,-1.256637061,176.5,,54.54149951,-167.8614751
71,-71,-1.239183769,176.5,,57.46277926,-166.8840286
70,-70,-1.221730476,176.5,,60.3665553,-165.8557476
69,-69,-1.204277184,177.5,,63.61031104,-165.7105257
68,-68,-1.186823891,177.9,,66.64251297,-164.9460077
67,-67,-1.169370599,177.9,,69.51106776,-163.7578134
66,-66,-1.151917306,178.5,,72.60249079,-163.0678642
65,-65,-1.134464014,178.5,,75.43735972,-161.77594
64,-64,-1.117010721,255,,111.7846424,-229.1924818
63,-63,-1.099557429,179.9,,81.6728909,-160.2920737
62,-62,-1.082104136,179.9,,84.45793415,-158.842272
61,-61,-1.064650844,255,,123.6264532,-223.0280253
60,-60,-1.047197551,255,,127.5,-220.836478
59,-59,-1.029744259,255,,131.3347091,-218.5776617
58,-58,-1.012290966,255,,135.1294124,-216.2522645
57,-57,-0.994837674,255,,138.8829539,-213.8609948
56,-56,-0.977384381,255,,142.5941904,-211.404581
55,-55,-0.959931089,255,,146.2619913,-208.8837713
54,-54,-0.942477796,255,,149.8852393,-206.2993336
53,-53,-0.925024504,255,,153.4628309,-203.6520551
52,-52,-0.907571211,255,,156.9936762,-200.9427422
51,-51,-0.890117919,255,,160.4766997,-198.1722202
50,-50,-0.872664626,255,,163.9108405,-195.341333
49,-49,-0.855211333,255,,167.2950524,-192.450943
48,-48,-0.837758041,255,,170.6283046,-189.5019305
47,-47,-0.820304748,255,,173.9095818,-186.4951939
46,-46,-0.802851456,255,,177.1378845,-183.4316491
45,-45,-0.785398163,255,,180.3122292,-180.3122292
44,-44,-0.767944871,255,,183.4316491,-177.1378845
