0,35.3
1,35.3
2,35.3
3,35.3
4,35.3
5,35.3
6,35.3
7,35.3
8,35.3
9,35.3
10,35.3
11,35.3
12,35.3
13,35.3
14,35.3
15,34.9
16,35.3
17,34.9
18,34.9
19,34.9
20,35.3
21,35.3
22,35.3
23,35.3
24,35.3
25,35.3
26,35.3
27,35.3
28,35.3
29,35.3
30,35.3
31,35.3
32,35.7
33,35.7
34,35.7
35,35.7
36,35.7
37,36.4
38,36.4
39,36.4
40,36.5
41,36.4
42,36.4
43,37.0
44,37.0
45,37.0
46,37.6
47,37.6
48,38.5
49,38.9
50,38.9
51,38.9
52,38.3
53,40.3
54,40.3
55,40.3
56,40.3
57,40.3
58,40.3
59,40.3
60,40.3
61,40.3
62,40.3
63,40.3
64,255.0
65,255.0
66,255.0
67,255.0
68,255.0
69,255.0
70,255.0
71,255.0
72,255.0
73,255.0
74,178.6
75,181.5
76,182.4
77,178.5
78,178.5
79,178.5
80,178.6
81,176.6
82,176.1
83,175.6
84,176.1
85,176.0
86,175.6
87,175.2
88,175.2
89,175.2
90,175.7
89,174.0
88,174.6
87,174.8
86,174.6
85,174.6
84,174.8
83,174.6
82,174.6
81,174.6
80,174.8
79,174.6
78,174.6
77,174.6
76,175.2
75,175.3
74,175.7
73,176.1
72,176.7
71,176.7
70,176.6
69,177.1
68,176.6
67,176.7
66,176.7
65,177.8
64,182.4
63,255.0
62,255.0
61,180.0
60,255.0
59,255.0
58,255.0
57,255.0
56,255.0
55,255.0
54,255.0
53,255.0
52,255.0
51,255.0
50,255.0
49,255.0
48,255.0
47,255.0
46,255.0
45,255.0
44,255.0
43,255.0
42,255.0
41,255.0
40,39.3
39,39.7
38,38.9
37,38.9
36,38.9
35,38.9
34,37.6
33,37.6
32,37.6
31,37.2
30,37.2
29,37.0
28,36.5
27,36.4
26,36.4
25,36.4
24,36.4
23,36.4
22,35.7
21,35.7
20,35.7
19,35.7
18,35.7
17,35.7
16,35.7
15,35.3
14,35.3
13,34.8
12,34.8
11,34.8
10,34.8
9,34.8
8,34.7
7,34.7
6,34.7
5,34.7
4,34.7
3,34.7
2,34.7
1,34.7
0,34.7
-1,34.7
-2,34.7
-3,34.7
-4,34.7
-5,34.7
-6,34.8
-7,34.8
-8,34.8
-9,34.8
-10,34.8
-11,34.8
-12,34.8
-13,34.8
-14,35.5
-15,35.5
-16,35.5
-17,34.8
-18,35.5
-19,35.5
-20,35.7
-21,35.7
-22,35.7
-23,35.7
-24,35.7
-25,35.7
-26,35.7
-27,35.3
-28,35.7
-29,35.7
-30,35.7
-31,35.7
-32,36.4
-33,35.7
-34,35.7
-35,36.4
-36,36.5
-37,36.5
-38,36.4
-39,38.4
-40,37.6
-41,37.4
-42,37.4
-43,39.2
-44,41.2
-45,42.0
-46,41.6
-47,39.9
-48,36.4
-49,36.4
-50,36.4
-51,36.4
-52,36.5
-53,36.5
-54,36.5
-55,36.4
-56,35.7
-57,35.7
-58,35.3
-59,35.3
-60,34.9
-61,35.3
-62,34.9
-63,34.9
-64,35.3
-65,34.9
-66,34.9
-67,34.9
-68,34.5
-69,39.7
-70,39.3
-71,39.3
-72,39.3
-73,39.3
-74,36.1
-75,35.7
-76,34.0
-77,34.0
-78,34.5
-79,34.0
-80,32.9
-81,32.9
-82,32.9
-83,34.9
-84,34.5
-85,35.3
-86,34.5
-87,34.5
-88,35.3
-89,33.4
-90,33.4
-89,33.4
-88,33.4
-87,33.4
-86,33.4
-85,33.4
-84,33.4
-83,33.4
-82,33.4
-81,33.4
-80,33.4
-79,33.4
-78,33.4
-77,33.4
-76,33.4
-75,34.0
-74,34.5
-73,34.0
